group,function,value,sample_time_nanos,iteration_count
cmp_open_db,leveldb,,1683324,1
cmp_open_db,leveldb,,3198751,2
cmp_open_db,leveldb,,5080281,3
cmp_open_db,leveldb,,6881922,4
cmp_open_db,leveldb,,7844001,5
cmp_open_db,leveldb,,10089962,6
cmp_open_db,leveldb,,13177197,7
cmp_open_db,leveldb,,12514732,8
cmp_open_db,leveldb,,12466500,9
cmp_open_db,leveldb,,15022713,10
cmp_open_db,leveldb,,19628038,11
cmp_open_db,leveldb,,19859992,12
cmp_open_db,leveldb,,21846314,13
cmp_open_db,leveldb,,20502893,14
cmp_open_db,leveldb,,25585987,15
cmp_open_db,leveldb,,28499608,16
cmp_open_db,leveldb,,28873281,17
cmp_open_db,leveldb,,30334600,18
cmp_open_db,leveldb,,31588583,19
cmp_open_db,leveldb,,34826458,20
cmp_open_db,leveldb,,35207583,21
cmp_open_db,leveldb,,37977255,22
cmp_open_db,leveldb,,56782943,23
cmp_open_db,leveldb,,43141152,24
cmp_open_db,leveldb,,42845659,25
cmp_open_db,leveldb,,44915616,26
cmp_open_db,leveldb,,47391847,27
cmp_open_db,leveldb,,48766687,28
cmp_open_db,leveldb,,51327827,29
cmp_open_db,leveldb,,48485391,30
cmp_open_db,leveldb,,53045252,31
cmp_open_db,leveldb,,55542783,32
cmp_open_db,leveldb,,57401285,33
cmp_open_db,leveldb,,59770199,34
cmp_open_db,leveldb,,61053905,35
cmp_open_db,leveldb,,61508883,36
cmp_open_db,leveldb,,65547956,37
cmp_open_db,leveldb,,65535622,38
cmp_open_db,leveldb,,66821589,39
cmp_open_db,leveldb,,69477198,40
cmp_open_db,leveldb,,71736436,41
cmp_open_db,leveldb,,73016064,42
cmp_open_db,leveldb,,73539258,43
cmp_open_db,leveldb,,79140496,44
cmp_open_db,leveldb,,77186505,45
cmp_open_db,leveldb,,79390512,46
cmp_open_db,leveldb,,81375759,47
cmp_open_db,leveldb,,82097720,48
cmp_open_db,leveldb,,84493453,49
cmp_open_db,leveldb,,87162292,50
cmp_open_db,leveldb,,90305280,51
cmp_open_db,leveldb,,88992952,52
cmp_open_db,leveldb,,90472860,53
cmp_open_db,leveldb,,88861843,54
cmp_open_db,leveldb,,96656215,55
cmp_open_db,leveldb,,96416566,56
cmp_open_db,leveldb,,90140877,57
cmp_open_db,leveldb,,99705026,58
cmp_open_db,leveldb,,92361123,59
cmp_open_db,leveldb,,93285732,60
cmp_open_db,leveldb,,104265741,61
cmp_open_db,leveldb,,101903339,62
cmp_open_db,leveldb,,107724977,63
cmp_open_db,leveldb,,110197298,64
cmp_open_db,leveldb,,112945188,65
cmp_open_db,leveldb,,111188222,66
cmp_open_db,leveldb,,115230282,67
cmp_open_db,leveldb,,116439343,68
cmp_open_db,leveldb,,117477269,69
cmp_open_db,leveldb,,120641855,70
cmp_open_db,leveldb,,120931402,71
cmp_open_db,leveldb,,121819741,72
cmp_open_db,leveldb,,144129148,73
cmp_open_db,leveldb,,124827178,74
cmp_open_db,leveldb,,128909175,75
cmp_open_db,leveldb,,130205031,76
cmp_open_db,leveldb,,131001415,77
cmp_open_db,leveldb,,122632592,78
cmp_open_db,leveldb,,127148693,79
cmp_open_db,leveldb,,124433637,80
cmp_open_db,leveldb,,135812497,81
cmp_open_db,leveldb,,141439836,82
cmp_open_db,leveldb,,141376882,83
cmp_open_db,leveldb,,147423944,84
cmp_open_db,leveldb,,140325188,85
cmp_open_db,leveldb,,145622897,86
cmp_open_db,leveldb,,153482635,87
cmp_open_db,leveldb,,152476135,88
cmp_open_db,leveldb,,153495887,89
cmp_open_db,leveldb,,153648342,90
cmp_open_db,leveldb,,155589484,91
cmp_open_db,leveldb,,156394380,92
cmp_open_db,leveldb,,162311522,93
cmp_open_db,leveldb,,156790593,94
cmp_open_db,leveldb,,161610230,95
cmp_open_db,leveldb,,166656221,96
cmp_open_db,leveldb,,166060416,97
cmp_open_db,leveldb,,165804723,98
cmp_open_db,leveldb,,170545455,99
cmp_open_db,leveldb,,174429959,100
