group,function,value,sample_time_nanos,iteration_count
cmp_open_db,lmdb,,1004794,6
cmp_open_db,lmdb,,2189312,12
cmp_open_db,lmdb,,3059188,18
cmp_open_db,lmdb,,3888465,24
cmp_open_db,lmdb,,4790644,30
cmp_open_db,lmdb,,6205072,36
cmp_open_db,lmdb,,7234509,42
cmp_open_db,lmdb,,8486569,48
cmp_open_db,lmdb,,12842822,54
cmp_open_db,lmdb,,10069990,60
cmp_open_db,lmdb,,11134862,66
cmp_open_db,lmdb,,12010095,72
cmp_open_db,lmdb,,12466839,78
cmp_open_db,lmdb,,14616229,84
cmp_open_db,lmdb,,15854583,90
cmp_open_db,lmdb,,16328180,96
cmp_open_db,lmdb,,17276311,102
cmp_open_db,lmdb,,18057236,108
cmp_open_db,lmdb,,18838333,114
cmp_open_db,lmdb,,19369971,120
cmp_open_db,lmdb,,20937248,126
cmp_open_db,lmdb,,21137377,132
cmp_open_db,lmdb,,36538391,138
cmp_open_db,lmdb,,27559399,144
cmp_open_db,lmdb,,25718066,150
cmp_open_db,lmdb,,30712297,156
cmp_open_db,lmdb,,27684482,162
cmp_open_db,lmdb,,27673394,168
cmp_open_db,lmdb,,30575726,174
cmp_open_db,lmdb,,30875669,180
cmp_open_db,lmdb,,31266243,186
cmp_open_db,lmdb,,31413793,192
cmp_open_db,lmdb,,32907465,198
cmp_open_db,lmdb,,34212281,204
cmp_open_db,lmdb,,34889304,210
cmp_open_db,lmdb,,37589855,216
cmp_open_db,lmdb,,37319140,222
cmp_open_db,lmdb,,36598913,228
cmp_open_db,lmdb,,39750449,234
cmp_open_db,lmdb,,39287737,240
cmp_open_db,lmdb,,41072209,246
cmp_open_db,lmdb,,42869095,252
cmp_open_db,lmdb,,43002003,258
cmp_open_db,lmdb,,43503215,264
cmp_open_db,lmdb,,44086400,270
cmp_open_db,lmdb,,47742467,276
cmp_open_db,lmdb,,47818269,282
cmp_open_db,lmdb,,48644213,288
cmp_open_db,lmdb,,47670904,294
cmp_open_db,lmdb,,51672915,300
cmp_open_db,lmdb,,50894680,306
cmp_open_db,lmdb,,51571370,312
cmp_open_db,lmdb,,55211791,318
cmp_open_db,lmdb,,54873293,324
cmp_open_db,lmdb,,55148877,330
cmp_open_db,lmdb,,56855105,336
cmp_open_db,lmdb,,56337662,342
cmp_open_db,lmdb,,58326139,348
cmp_open_db,lmdb,,60738890,354
cmp_open_db,lmdb,,58381942,360
cmp_open_db,lmdb,,61200065,366
cmp_open_db,lmdb,,63173654,372
cmp_open_db,lmdb,,63490913,378
cmp_open_db,lmdb,,61337981,384
cmp_open_db,lmdb,,63689859,390
cmp_open_db,lmdb,,66340686,396
cmp_open_db,lmdb,,68935617,402
cmp_open_db,lmdb,,68598449,408
cmp_open_db,lmdb,,69628302,414
cmp_open_db,lmdb,,70236984,420
cmp_open_db,lmdb,,72220109,426
cmp_open_db,lmdb,,72542495,432
cmp_open_db,lmdb,,73552808,438
cmp_open_db,lmdb,,74443492,444
cmp_open_db,lmdb,,76053177,450
cmp_open_db,lmdb,,76969102,456
cmp_open_db,lmdb,,78325374,462
cmp_open_db,lmdb,,78204310,468
cmp_open_db,lmdb,,77222179,474
cmp_open_db,lmdb,,80963190,480
cmp_open_db,lmdb,,81719940,486
cmp_open_db,lmdb,,80271135,492
cmp_open_db,lmdb,,83540860,498
cmp_open_db,lmdb,,84705061,504
cmp_open_db,lmdb,,86526187,510
cmp_open_db,lmdb,,86435465,516
cmp_open_db,lmdb,,89006222,522
cmp_open_db,lmdb,,88560288,528
cmp_open_db,lmdb,,87081986,534
cmp_open_db,lmdb,,90455122,540
cmp_open_db,lmdb,,91137795,546
cmp_open_db,lmdb,,95255513,552
cmp_open_db,lmdb,,94558512,558
cmp_open_db,lmdb,,91952026,564
cmp_open_db,lmdb,,98577290,570
cmp_open_db,lmdb,,96438386,576
cmp_open_db,lmdb,,97502229,582
cmp_open_db,lmdb,,96501412,588
cmp_open_db,lmdb,,99995698,594
cmp_open_db,lmdb,,100029679,600
