group,function,value,sample_time_nanos,iteration_count
cmp_open_db,lmdb,,987753,6
cmp_open_db,lmdb,,1988987,12
cmp_open_db,lmdb,,3035501,18
cmp_open_db,lmdb,,3845055,24
cmp_open_db,lmdb,,4863431,30
cmp_open_db,lmdb,,5961862,36
cmp_open_db,lmdb,,6491560,42
cmp_open_db,lmdb,,8017656,48
cmp_open_db,lmdb,,8683285,54
cmp_open_db,lmdb,,9797866,60
cmp_open_db,lmdb,,10609731,66
cmp_open_db,lmdb,,11777253,72
cmp_open_db,lmdb,,12413081,78
cmp_open_db,lmdb,,13615448,84
cmp_open_db,lmdb,,13910727,90
cmp_open_db,lmdb,,14782493,96
cmp_open_db,lmdb,,16597817,102
cmp_open_db,lmdb,,17266569,108
cmp_open_db,lmdb,,19120578,114
cmp_open_db,lmdb,,19536750,120
cmp_open_db,lmdb,,20614892,126
cmp_open_db,lmdb,,21732744,132
cmp_open_db,lmdb,,21867939,138
cmp_open_db,lmdb,,23549867,144
cmp_open_db,lmdb,,26238422,150
cmp_open_db,lmdb,,25036530,156
cmp_open_db,lmdb,,26609475,162
cmp_open_db,lmdb,,27193248,168
cmp_open_db,lmdb,,27734893,174
cmp_open_db,lmdb,,28960251,180
cmp_open_db,lmdb,,29792411,186
cmp_open_db,lmdb,,31406136,192
cmp_open_db,lmdb,,32140387,198
cmp_open_db,lmdb,,33713517,204
cmp_open_db,lmdb,,34636085,210
cmp_open_db,lmdb,,35756586,216
cmp_open_db,lmdb,,35991034,222
cmp_open_db,lmdb,,35718295,228
cmp_open_db,lmdb,,37255192,234
cmp_open_db,lmdb,,39937989,240
cmp_open_db,lmdb,,39734738,246
cmp_open_db,lmdb,,41553405,252
cmp_open_db,lmdb,,42824342,258
cmp_open_db,lmdb,,42926952,264
cmp_open_db,lmdb,,43929449,270
cmp_open_db,lmdb,,45266624,276
cmp_open_db,lmdb,,45849220,282
cmp_open_db,lmdb,,46032617,288
cmp_open_db,lmdb,,49209695,294
cmp_open_db,lmdb,,50368779,300
cmp_open_db,lmdb,,50390326,306
cmp_open_db,lmdb,,50145029,312
cmp_open_db,lmdb,,53284979,318
cmp_open_db,lmdb,,51414705,324
cmp_open_db,lmdb,,54305382,330
cmp_open_db,lmdb,,54342398,336
cmp_open_db,lmdb,,56258402,342
cmp_open_db,lmdb,,57598816,348
cmp_open_db,lmdb,,58776762,354
cmp_open_db,lmdb,,59271483,360
cmp_open_db,lmdb,,60140311,366
cmp_open_db,lmdb,,60459882,372
cmp_open_db,lmdb,,61536011,378
cmp_open_db,lmdb,,63285098,384
cmp_open_db,lmdb,,63756172,390
cmp_open_db,lmdb,,66029730,396
cmp_open_db,lmdb,,66190212,402
cmp_open_db,lmdb,,69745957,408
cmp_open_db,lmdb,,68098670,414
cmp_open_db,lmdb,,72231293,420
cmp_open_db,lmdb,,68784502,426
cmp_open_db,lmdb,,71321497,432
cmp_open_db,lmdb,,70549853,438
cmp_open_db,lmdb,,72412925,444
cmp_open_db,lmdb,,74847511,450
cmp_open_db,lmdb,,74245433,456
cmp_open_db,lmdb,,76478224,462
cmp_open_db,lmdb,,76783029,468
cmp_open_db,lmdb,,76716846,474
cmp_open_db,lmdb,,78907235,480
cmp_open_db,lmdb,,79469198,486
cmp_open_db,lmdb,,80935775,492
cmp_open_db,lmdb,,81744971,498
cmp_open_db,lmdb,,80558762,504
cmp_open_db,lmdb,,86864145,510
cmp_open_db,lmdb,,86851900,516
cmp_open_db,lmdb,,87316886,522
cmp_open_db,lmdb,,87113286,528
cmp_open_db,lmdb,,87966280,534
cmp_open_db,lmdb,,88296093,540
cmp_open_db,lmdb,,91770171,546
cmp_open_db,lmdb,,95275307,552
cmp_open_db,lmdb,,92592769,558
cmp_open_db,lmdb,,94505033,564
cmp_open_db,lmdb,,95073789,570
cmp_open_db,lmdb,,94717246,576
cmp_open_db,lmdb,,95392682,582
cmp_open_db,lmdb,,96905332,588
cmp_open_db,lmdb,,96422033,594
cmp_open_db,lmdb,,99857470,600
