group,function,value,sample_time_nanos,iteration_count
leveldb_db_size,,"(100, 1)",1431469,153
leveldb_db_size,,"(100, 1)",2940037,306
leveldb_db_size,,"(100, 1)",4603354,459
leveldb_db_size,,"(100, 1)",5794694,612
leveldb_db_size,,"(100, 1)",4252214,765
leveldb_db_size,,"(100, 1)",4764893,918
leveldb_db_size,,"(100, 1)",5179402,1071
leveldb_db_size,,"(100, 1)",6405572,1224
leveldb_db_size,,"(100, 1)",6587637,1377
leveldb_db_size,,"(100, 1)",7786477,1530
leveldb_db_size,,"(100, 1)",8820761,1683
leveldb_db_size,,"(100, 1)",8657876,1836
leveldb_db_size,,"(100, 1)",9124297,1989
leveldb_db_size,,"(100, 1)",20749959,2142
leveldb_db_size,,"(100, 1)",11820880,2295
leveldb_db_size,,"(100, 1)",14441701,2448
leveldb_db_size,,"(100, 1)",19618786,2601
leveldb_db_size,,"(100, 1)",24908421,2754
leveldb_db_size,,"(100, 1)",18887743,2907
leveldb_db_size,,"(100, 1)",23949501,3060
leveldb_db_size,,"(100, 1)",24235598,3213
leveldb_db_size,,"(100, 1)",26529199,3366
leveldb_db_size,,"(100, 1)",31222570,3519
leveldb_db_size,,"(100, 1)",28401264,3672
leveldb_db_size,,"(100, 1)",26845095,3825
leveldb_db_size,,"(100, 1)",19754794,3978
leveldb_db_size,,"(100, 1)",22299824,4131
leveldb_db_size,,"(100, 1)",35990804,4284
leveldb_db_size,,"(100, 1)",40735043,4437
leveldb_db_size,,"(100, 1)",41678346,4590
leveldb_db_size,,"(100, 1)",31515253,4743
leveldb_db_size,,"(100, 1)",37665924,4896
leveldb_db_size,,"(100, 1)",28244743,5049
leveldb_db_size,,"(100, 1)",38929489,5202
leveldb_db_size,,"(100, 1)",40875692,5355
leveldb_db_size,,"(100, 1)",31984015,5508
leveldb_db_size,,"(100, 1)",32834856,5661
leveldb_db_size,,"(100, 1)",29437326,5814
leveldb_db_size,,"(100, 1)",29052164,5967
leveldb_db_size,,"(100, 1)",39778621,6120
leveldb_db_size,,"(100, 1)",42583655,6273
leveldb_db_size,,"(100, 1)",40924471,6426
leveldb_db_size,,"(100, 1)",44704831,6579
leveldb_db_size,,"(100, 1)",50186441,6732
leveldb_db_size,,"(100, 1)",52175610,6885
leveldb_db_size,,"(100, 1)",39996024,7038
leveldb_db_size,,"(100, 1)",60027726,7191
leveldb_db_size,,"(100, 1)",50448263,7344
leveldb_db_size,,"(100, 1)",48151326,7497
leveldb_db_size,,"(100, 1)",63675224,7650
leveldb_db_size,,"(100, 1)",67618203,7803
leveldb_db_size,,"(100, 1)",56492767,7956
leveldb_db_size,,"(100, 1)",45509858,8109
leveldb_db_size,,"(100, 1)",55110433,8262
leveldb_db_size,,"(100, 1)",57642981,8415
leveldb_db_size,,"(100, 1)",58204070,8568
leveldb_db_size,,"(100, 1)",60650094,8721
leveldb_db_size,,"(100, 1)",71800641,8874
leveldb_db_size,,"(100, 1)",63589292,9027
leveldb_db_size,,"(100, 1)",68904773,9180
leveldb_db_size,,"(100, 1)",53602385,9333
leveldb_db_size,,"(100, 1)",57122114,9486
leveldb_db_size,,"(100, 1)",66454111,9639
leveldb_db_size,,"(100, 1)",88671138,9792
leveldb_db_size,,"(100, 1)",66848795,9945
leveldb_db_size,,"(100, 1)",59272469,10098
leveldb_db_size,,"(100, 1)",58068632,10251
leveldb_db_size,,"(100, 1)",64799208,10404
leveldb_db_size,,"(100, 1)",71235669,10557
leveldb_db_size,,"(100, 1)",76517522,10710
leveldb_db_size,,"(100, 1)",93834144,10863
leveldb_db_size,,"(100, 1)",67784111,11016
leveldb_db_size,,"(100, 1)",72764157,11169
leveldb_db_size,,"(100, 1)",87007291,11322
leveldb_db_size,,"(100, 1)",71326384,11475
leveldb_db_size,,"(100, 1)",94788469,11628
leveldb_db_size,,"(100, 1)",87562259,11781
leveldb_db_size,,"(100, 1)",86047366,11934
leveldb_db_size,,"(100, 1)",74105016,12087
leveldb_db_size,,"(100, 1)",99501909,12240
leveldb_db_size,,"(100, 1)",84396775,12393
leveldb_db_size,,"(100, 1)",75440287,12546
leveldb_db_size,,"(100, 1)",72716583,12699
leveldb_db_size,,"(100, 1)",79830261,12852
leveldb_db_size,,"(100, 1)",99187374,13005
leveldb_db_size,,"(100, 1)",90678370,13158
leveldb_db_size,,"(100, 1)",98629418,13311
leveldb_db_size,,"(100, 1)",82201403,13464
leveldb_db_size,,"(100, 1)",69507277,13617
leveldb_db_size,,"(100, 1)",77790414,13770
leveldb_db_size,,"(100, 1)",85102021,13923
leveldb_db_size,,"(100, 1)",114361651,14076
leveldb_db_size,,"(100, 1)",95007594,14229
leveldb_db_size,,"(100, 1)",91695154,14382
leveldb_db_size,,"(100, 1)",88175478,14535
leveldb_db_size,,"(100, 1)",108810683,14688
leveldb_db_size,,"(100, 1)",100965102,14841
leveldb_db_size,,"(100, 1)",85764223,14994
leveldb_db_size,,"(100, 1)",104271720,15147
leveldb_db_size,,"(100, 1)",97450967,15300
