group,function,value,sample_time_nanos,iteration_count
leveldb_db_size,,"(1000, 1)",1328589,55
leveldb_db_size,,"(1000, 1)",1968929,110
leveldb_db_size,,"(1000, 1)",2956347,165
leveldb_db_size,,"(1000, 1)",4250577,220
leveldb_db_size,,"(1000, 1)",4975567,275
leveldb_db_size,,"(1000, 1)",6650213,330
leveldb_db_size,,"(1000, 1)",6363906,385
leveldb_db_size,,"(1000, 1)",8644812,440
leveldb_db_size,,"(1000, 1)",8776514,495
leveldb_db_size,,"(1000, 1)",9394321,550
leveldb_db_size,,"(1000, 1)",10801919,605
leveldb_db_size,,"(1000, 1)",11337020,660
leveldb_db_size,,"(1000, 1)",12696523,715
leveldb_db_size,,"(1000, 1)",12899421,770
leveldb_db_size,,"(1000, 1)",15096563,825
leveldb_db_size,,"(1000, 1)",16210189,880
leveldb_db_size,,"(1000, 1)",17312466,935
leveldb_db_size,,"(1000, 1)",17641282,990
leveldb_db_size,,"(1000, 1)",18391006,1045
leveldb_db_size,,"(1000, 1)",18682837,1100
leveldb_db_size,,"(1000, 1)",22844596,1155
leveldb_db_size,,"(1000, 1)",21561312,1210
leveldb_db_size,,"(1000, 1)",23981956,1265
leveldb_db_size,,"(1000, 1)",24620353,1320
leveldb_db_size,,"(1000, 1)",23876954,1375
leveldb_db_size,,"(1000, 1)",24466703,1430
leveldb_db_size,,"(1000, 1)",25725246,1485
leveldb_db_size,,"(1000, 1)",28886874,1540
leveldb_db_size,,"(1000, 1)",26950818,1595
leveldb_db_size,,"(1000, 1)",27962437,1650
leveldb_db_size,,"(1000, 1)",29318501,1705
leveldb_db_size,,"(1000, 1)",30851127,1760
leveldb_db_size,,"(1000, 1)",31859187,1815
leveldb_db_size,,"(1000, 1)",32225431,1870
leveldb_db_size,,"(1000, 1)",36481424,1925
leveldb_db_size,,"(1000, 1)",36607605,1980
leveldb_db_size,,"(1000, 1)",38199341,2035
leveldb_db_size,,"(1000, 1)",39572947,2090
leveldb_db_size,,"(1000, 1)",37645701,2145
leveldb_db_size,,"(1000, 1)",38753169,2200
leveldb_db_size,,"(1000, 1)",39587406,2255
leveldb_db_size,,"(1000, 1)",42226211,2310
leveldb_db_size,,"(1000, 1)",46095860,2365
leveldb_db_size,,"(1000, 1)",43589088,2420
leveldb_db_size,,"(1000, 1)",45600985,2475
leveldb_db_size,,"(1000, 1)",45509112,2530
leveldb_db_size,,"(1000, 1)",50060181,2585
leveldb_db_size,,"(1000, 1)",48860824,2640
leveldb_db_size,,"(1000, 1)",48172951,2695
leveldb_db_size,,"(1000, 1)",51271728,2750
leveldb_db_size,,"(1000, 1)",49570826,2805
leveldb_db_size,,"(1000, 1)",53328691,2860
leveldb_db_size,,"(1000, 1)",52494185,2915
leveldb_db_size,,"(1000, 1)",53616215,2970
leveldb_db_size,,"(1000, 1)",55158157,3025
leveldb_db_size,,"(1000, 1)",55097420,3080
leveldb_db_size,,"(1000, 1)",54070672,3135
leveldb_db_size,,"(1000, 1)",56528361,3190
leveldb_db_size,,"(1000, 1)",60459532,3245
leveldb_db_size,,"(1000, 1)",56238287,3300
leveldb_db_size,,"(1000, 1)",58792574,3355
leveldb_db_size,,"(1000, 1)",65752306,3410
leveldb_db_size,,"(1000, 1)",63856153,3465
leveldb_db_size,,"(1000, 1)",64627731,3520
leveldb_db_size,,"(1000, 1)",69412548,3575
leveldb_db_size,,"(1000, 1)",69102372,3630
leveldb_db_size,,"(1000, 1)",64566506,3685
leveldb_db_size,,"(1000, 1)",65384732,3740
leveldb_db_size,,"(1000, 1)",68778492,3795
leveldb_db_size,,"(1000, 1)",67591882,3850
leveldb_db_size,,"(1000, 1)",67709537,3905
leveldb_db_size,,"(1000, 1)",74699875,3960
leveldb_db_size,,"(1000, 1)",70721549,4015
leveldb_db_size,,"(1000, 1)",73713252,4070
leveldb_db_size,,"(1000, 1)",74211996,4125
leveldb_db_size,,"(1000, 1)",73670459,4180
leveldb_db_size,,"(1000, 1)",75226893,4235
leveldb_db_size,,"(1000, 1)",77913998,4290
leveldb_db_size,,"(1000, 1)",80070519,4345
leveldb_db_size,,"(1000, 1)",77401531,4400
leveldb_db_size,,"(1000, 1)",79787381,4455
leveldb_db_size,,"(1000, 1)",78682492,4510
leveldb_db_size,,"(1000, 1)",79851736,4565
leveldb_db_size,,"(1000, 1)",87811062,4620
leveldb_db_size,,"(1000, 1)",85865022,4675
leveldb_db_size,,"(1000, 1)",87978709,4730
leveldb_db_size,,"(1000, 1)",84757789,4785
leveldb_db_size,,"(1000, 1)",82774382,4840
leveldb_db_size,,"(1000, 1)",83207813,4895
leveldb_db_size,,"(1000, 1)",82884562,4950
leveldb_db_size,,"(1000, 1)",89356618,5005
leveldb_db_size,,"(1000, 1)",93682453,5060
leveldb_db_size,,"(1000, 1)",90364635,5115
leveldb_db_size,,"(1000, 1)",93555429,5170
leveldb_db_size,,"(1000, 1)",93631677,5225
leveldb_db_size,,"(1000, 1)",92820052,5280
leveldb_db_size,,"(1000, 1)",93285360,5335
leveldb_db_size,,"(1000, 1)",95586952,5390
leveldb_db_size,,"(1000, 1)",93570391,5445
leveldb_db_size,,"(1000, 1)",99841664,5500
