group,function,value,sample_time_nanos,iteration_count
leveldb_put_rand_sync,,"(1000, 1)",1034339,1
leveldb_put_rand_sync,,"(1000, 1)",1927821,2
leveldb_put_rand_sync,,"(1000, 1)",2745280,3
leveldb_put_rand_sync,,"(1000, 1)",3914127,4
leveldb_put_rand_sync,,"(1000, 1)",5397742,5
leveldb_put_rand_sync,,"(1000, 1)",6653772,6
leveldb_put_rand_sync,,"(1000, 1)",10226169,7
leveldb_put_rand_sync,,"(1000, 1)",9339675,8
leveldb_put_rand_sync,,"(1000, 1)",10231575,9
leveldb_put_rand_sync,,"(1000, 1)",11233576,10
leveldb_put_rand_sync,,"(1000, 1)",12640060,11
leveldb_put_rand_sync,,"(1000, 1)",13822714,12
leveldb_put_rand_sync,,"(1000, 1)",14809551,13
leveldb_put_rand_sync,,"(1000, 1)",16234726,14
leveldb_put_rand_sync,,"(1000, 1)",17702487,15
leveldb_put_rand_sync,,"(1000, 1)",18740613,16
leveldb_put_rand_sync,,"(1000, 1)",20168856,17
leveldb_put_rand_sync,,"(1000, 1)",20896949,18
leveldb_put_rand_sync,,"(1000, 1)",21992014,19
leveldb_put_rand_sync,,"(1000, 1)",25878644,20
leveldb_put_rand_sync,,"(1000, 1)",24917209,21
leveldb_put_rand_sync,,"(1000, 1)",26520928,22
leveldb_put_rand_sync,,"(1000, 1)",27891782,23
leveldb_put_rand_sync,,"(1000, 1)",29474957,24
leveldb_put_rand_sync,,"(1000, 1)",29504200,25
leveldb_put_rand_sync,,"(1000, 1)",32215655,26
leveldb_put_rand_sync,,"(1000, 1)",33266938,27
leveldb_put_rand_sync,,"(1000, 1)",34507545,28
leveldb_put_rand_sync,,"(1000, 1)",36685827,29
leveldb_put_rand_sync,,"(1000, 1)",37479937,30
leveldb_put_rand_sync,,"(1000, 1)",37961569,31
leveldb_put_rand_sync,,"(1000, 1)",38434169,32
leveldb_put_rand_sync,,"(1000, 1)",40504541,33
leveldb_put_rand_sync,,"(1000, 1)",42955552,34
leveldb_put_rand_sync,,"(1000, 1)",45078300,35
leveldb_put_rand_sync,,"(1000, 1)",44915662,36
leveldb_put_rand_sync,,"(1000, 1)",45487165,37
leveldb_put_rand_sync,,"(1000, 1)",47327236,38
leveldb_put_rand_sync,,"(1000, 1)",49475514,39
leveldb_put_rand_sync,,"(1000, 1)",51125648,40
leveldb_put_rand_sync,,"(1000, 1)",52712097,41
leveldb_put_rand_sync,,"(1000, 1)",54622118,42
leveldb_put_rand_sync,,"(1000, 1)",56440330,43
leveldb_put_rand_sync,,"(1000, 1)",55606455,44
leveldb_put_rand_sync,,"(1000, 1)",59219709,45
leveldb_put_rand_sync,,"(1000, 1)",59624711,46
leveldb_put_rand_sync,,"(1000, 1)",61634473,47
leveldb_put_rand_sync,,"(1000, 1)",61956788,48
leveldb_put_rand_sync,,"(1000, 1)",64929693,49
leveldb_put_rand_sync,,"(1000, 1)",65339826,50
leveldb_put_rand_sync,,"(1000, 1)",67624392,51
leveldb_put_rand_sync,,"(1000, 1)",68056422,52
leveldb_put_rand_sync,,"(1000, 1)",70191555,53
leveldb_put_rand_sync,,"(1000, 1)",73007907,54
leveldb_put_rand_sync,,"(1000, 1)",73510571,55
leveldb_put_rand_sync,,"(1000, 1)",74806602,56
leveldb_put_rand_sync,,"(1000, 1)",75526101,57
leveldb_put_rand_sync,,"(1000, 1)",75195872,58
leveldb_put_rand_sync,,"(1000, 1)",79225789,59
leveldb_put_rand_sync,,"(1000, 1)",81706322,60
leveldb_put_rand_sync,,"(1000, 1)",80855874,61
leveldb_put_rand_sync,,"(1000, 1)",82881566,62
leveldb_put_rand_sync,,"(1000, 1)",84622365,63
leveldb_put_rand_sync,,"(1000, 1)",86514705,64
leveldb_put_rand_sync,,"(1000, 1)",87053906,65
leveldb_put_rand_sync,,"(1000, 1)",89621503,66
leveldb_put_rand_sync,,"(1000, 1)",91079399,67
leveldb_put_rand_sync,,"(1000, 1)",92480901,68
leveldb_put_rand_sync,,"(1000, 1)",95716533,69
leveldb_put_rand_sync,,"(1000, 1)",94495114,70
leveldb_put_rand_sync,,"(1000, 1)",94173899,71
