group,function,value,sample_time_nanos,iteration_count
leveldb_put_seq_sync,,"(1, 1)",1039573,18
leveldb_put_seq_sync,,"(1, 1)",1943315,36
leveldb_put_seq_sync,,"(1, 1)",3593188,54
leveldb_put_seq_sync,,"(1, 1)",3839466,72
leveldb_put_seq_sync,,"(1, 1)",5429226,90
leveldb_put_seq_sync,,"(1, 1)",5656508,108
leveldb_put_seq_sync,,"(1, 1)",10064359,126
leveldb_put_seq_sync,,"(1, 1)",9292532,144
leveldb_put_seq_sync,,"(1, 1)",8715371,162
leveldb_put_seq_sync,,"(1, 1)",10235337,180
leveldb_put_seq_sync,,"(1, 1)",10629765,198
leveldb_put_seq_sync,,"(1, 1)",11614533,216
leveldb_put_seq_sync,,"(1, 1)",12425887,234
leveldb_put_seq_sync,,"(1, 1)",12530627,252
leveldb_put_seq_sync,,"(1, 1)",14744454,270
leveldb_put_seq_sync,,"(1, 1)",16892297,288
leveldb_put_seq_sync,,"(1, 1)",15580909,306
leveldb_put_seq_sync,,"(1, 1)",17423298,324
leveldb_put_seq_sync,,"(1, 1)",17950713,342
leveldb_put_seq_sync,,"(1, 1)",19845917,360
leveldb_put_seq_sync,,"(1, 1)",20871858,378
leveldb_put_seq_sync,,"(1, 1)",21675280,396
leveldb_put_seq_sync,,"(1, 1)",24564719,414
leveldb_put_seq_sync,,"(1, 1)",23573292,432
leveldb_put_seq_sync,,"(1, 1)",25553677,450
leveldb_put_seq_sync,,"(1, 1)",27552060,468
leveldb_put_seq_sync,,"(1, 1)",24848130,486
leveldb_put_seq_sync,,"(1, 1)",30812836,504
leveldb_put_seq_sync,,"(1, 1)",30326043,522
leveldb_put_seq_sync,,"(1, 1)",30143602,540
leveldb_put_seq_sync,,"(1, 1)",29225091,558
leveldb_put_seq_sync,,"(1, 1)",32038562,576
leveldb_put_seq_sync,,"(1, 1)",33081332,594
leveldb_put_seq_sync,,"(1, 1)",33401796,612
leveldb_put_seq_sync,,"(1, 1)",34296506,630
leveldb_put_seq_sync,,"(1, 1)",36397405,648
leveldb_put_seq_sync,,"(1, 1)",38154770,666
leveldb_put_seq_sync,,"(1, 1)",39363200,684
leveldb_put_seq_sync,,"(1, 1)",38619163,702
leveldb_put_seq_sync,,"(1, 1)",41093352,720
leveldb_put_seq_sync,,"(1, 1)",42337890,738
leveldb_put_seq_sync,,"(1, 1)",42965610,756
leveldb_put_seq_sync,,"(1, 1)",48464161,774
leveldb_put_seq_sync,,"(1, 1)",46207964,792
leveldb_put_seq_sync,,"(1, 1)",53265446,810
leveldb_put_seq_sync,,"(1, 1)",44881986,828
leveldb_put_seq_sync,,"(1, 1)",46846482,846
leveldb_put_seq_sync,,"(1, 1)",58811413,864
leveldb_put_seq_sync,,"(1, 1)",50035622,882
leveldb_put_seq_sync,,"(1, 1)",50975774,900
leveldb_put_seq_sync,,"(1, 1)",49086093,918
