group,function,value,sample_time_nanos,iteration_count
lmdb_put_seq_sync,,"(1000, 1)",1223014,3
lmdb_put_seq_sync,,"(1000, 1)",2693309,6
lmdb_put_seq_sync,,"(1000, 1)",4159530,9
lmdb_put_seq_sync,,"(1000, 1)",4652666,12
lmdb_put_seq_sync,,"(1000, 1)",5998166,15
lmdb_put_seq_sync,,"(1000, 1)",7028547,18
lmdb_put_seq_sync,,"(1000, 1)",9304896,21
lmdb_put_seq_sync,,"(1000, 1)",14020042,24
lmdb_put_seq_sync,,"(1000, 1)",13938657,27
lmdb_put_seq_sync,,"(1000, 1)",14744511,30
lmdb_put_seq_sync,,"(1000, 1)",15846941,33
lmdb_put_seq_sync,,"(1000, 1)",18036898,36
lmdb_put_seq_sync,,"(1000, 1)",19034583,39
lmdb_put_seq_sync,,"(1000, 1)",20957834,42
lmdb_put_seq_sync,,"(1000, 1)",20719092,45
lmdb_put_seq_sync,,"(1000, 1)",18873036,48
lmdb_put_seq_sync,,"(1000, 1)",20668455,51
lmdb_put_seq_sync,,"(1000, 1)",20907267,54
lmdb_put_seq_sync,,"(1000, 1)",22704886,57
lmdb_put_seq_sync,,"(1000, 1)",24433736,60
lmdb_put_seq_sync,,"(1000, 1)",24813097,63
lmdb_put_seq_sync,,"(1000, 1)",25312184,66
lmdb_put_seq_sync,,"(1000, 1)",28259264,69
lmdb_put_seq_sync,,"(1000, 1)",27857618,72
lmdb_put_seq_sync,,"(1000, 1)",30043311,75
lmdb_put_seq_sync,,"(1000, 1)",31503634,78
lmdb_put_seq_sync,,"(1000, 1)",32299779,81
lmdb_put_seq_sync,,"(1000, 1)",33409282,84
lmdb_put_seq_sync,,"(1000, 1)",34006837,87
lmdb_put_seq_sync,,"(1000, 1)",36322411,90
lmdb_put_seq_sync,,"(1000, 1)",45817440,93
lmdb_put_seq_sync,,"(1000, 1)",38672161,96
lmdb_put_seq_sync,,"(1000, 1)",40358836,99
lmdb_put_seq_sync,,"(1000, 1)",39126714,102
lmdb_put_seq_sync,,"(1000, 1)",42554817,105
lmdb_put_seq_sync,,"(1000, 1)",42150005,108
lmdb_put_seq_sync,,"(1000, 1)",43867858,111
lmdb_put_seq_sync,,"(1000, 1)",46197176,114
lmdb_put_seq_sync,,"(1000, 1)",46318608,117
lmdb_put_seq_sync,,"(1000, 1)",46242182,120
lmdb_put_seq_sync,,"(1000, 1)",49324525,123
lmdb_put_seq_sync,,"(1000, 1)",50059819,126
lmdb_put_seq_sync,,"(1000, 1)",49814042,129
